Heating,Lighting,Cooling,Plug,Ventilation,Other,Consumption,Location,Number of Room,Occupants,Temperature,Humidity,Precipitation,Cloudcover,Visibility,Solarradiation,Solarenergy,Uvindex,Dayindex
5.25,7.25,92.1875,8.875,69.625,0.0,183.1875,0,0.0,0.0,24.2,54.74,0.0,74.9,29.8,7.0,0.0,0.0,0.607
4.75,8.0,130.6875,8.4375,36.0,0.0,187.875,0,0.0,0.0,21.7,61.86,0.0,59.0,36.4,0.0,0.0,0.0,0.607
5.5,6.8125,76.625,9.75,14.875,0.0,113.5625,0,0.0,0.0,19.9,67.97,0.0,10.0,37.3,0.0,0.0,0.0,0.607
5.0,6.875,67.9375,7.375,4.625,0.0,91.8125,0,0.0,0.0,18.6,72.72,0.0,10.0,37.3,0.0,0.0,0.0,0.584
4.75,6.6875,74.3125,10.125,7.25,0.0,103.125,0,0.0,0.0,18.2,72.7,0.0,10.0,37.3,0.0,0.0,0.0,0.584
4.75,6.875,80.25,7.3125,7.625,0.0,106.8125,0,0.0,0.0,17.2,76.56,0.0,10.0,35.6,0.0,0.0,0.0,0.584
5.0,7.125,60.0625,8.3125,8.375,0.0,88.875,0,0.0,0.0,16.2,79.79,0.0,60.0,38.1,0.0,0.0,0.0,0.584
5.0,7.25,59.75,9.6875,8.375,0.0,90.0625,0,0.0,0.0,15.0,82.72,0.0,80.0,36.4,0.0,0.0,0.0,0.584
4.75,7.375,133.25,9.3125,19.0,0.0,173.6875,0,0.0,0.0,14.7,85.0,0.0,81.2,35.5,0.0,0.0,0.0,0.584
5.75,7.375,62.0,10.375,63.125,0.0,148.625,0,0.0,0.0,15.1,84.39,0.0,66.0,35.5,0.2,0.0,0.0,0.584
6.75,11.4375,59.3125,11.4375,60.0,0.0,148.9375,0,0.0,0.0,14.5,87.07,0.0,98.3,33.9,12.0,0.0,0.0,0.584
4.75,19.0625,49.5,14.3125,52.875,0.0,140.5,"G-1B016-Projet-Vie étudiante, G-1C002-Amphi Coulomb",2.0,160.0,15.3,85.72,0.0,70.3,30.6,69.0,0.2,1.0,0.584
3.75,24.5625,64.125,12.8125,69.375,0.0,174.625,"G-1B016-Projet-Vie étudiante, G-1C002-Amphi Coulomb, G-4D006",3.0,194.0,19.4,65.41,0.0,37.1,18.9,207.0,0.7,2.0,0.584
